screen_size,ROM,RAM,n_rear_cam,n_front_cam,battery_c,ratings,n_ratings,sales_p,discount_p,sales_idx
Large,64,4,4,1,5020,4.4,6106,16487,0.03,10.07
Medium,64,4,2,2,4000,4.5,125016,12459,0.22,155.76
Medium,64,6,2,1,4000,4.5,129661,13500,0.2,175.04
Medium,64,4,2,1,4000,4.5,89172,11799,0.07,105.21
Medium,64,4,2,1,4000,4.4,1106,12999,0.07,1.44
Medium,128,6,3,1,4000,4.5,25385,20920,0.04,53.11
Large,128,8,3,1,4250,4.2,560,23999,0.07,1.34
Large,128,6,3,1,4250,4.2,1554,21999,0.12,3.42
Large,128,6,3,1,4250,4.2,1554,21999,0.12,3.42
Medium,64,6,2,1,4000,4.4,53013,14999,0.06,79.51
Medium,64,6,3,1,4000,4.5,25385,20899,0.05,53.05
Medium,64,4,3,1,4030,4.3,12458,12990,0.13,16.18
Large,64,4,2,1,5000,4.2,6870,9840,0.08,6.76
Large,64,4,2,1,5000,4.2,6870,10099,0.03,6.94
Medium,64,4,3,1,4030,4.3,12458,12990,0.13,16.18
Small,32,3,1,1,4100,4.4,642373,8565,0.04,550.19
Medium,64,4,1,1,4000,4.4,357064,10999,0.04,392.73
Medium,64,4,2,1,4000,4.4,1106,12499,0.1,1.38
Medium,128,6,2,1,4000,4.4,53013,15649,0.01,82.96
Large,128,8,3,1,5000,4.1,1137,34999,0.18,3.98
Large,128,8,3,1,5000,4.2,3571,36999,0.22,13.21
Medium,64,4,2,2,4000,4.5,125016,11490,0.04,143.64
Medium,64,4,2,1,4000,4.5,141177,14450,0.03,204.0
Large,128,6,4,1,5020,4.3,434,18778,0.01,0.81
Medium,64,6,2,1,4000,4.5,129661,13400,0.13,173.75
Medium,32,3,2,1,3080,4.5,120515,9499,0.09,114.48
Large,128,6,3,1,5000,4.2,1294,32999,0.17,4.27
Medium,64,4,2,2,4000,4.5,125016,13990,0.12,174.9
Large,256,8,4,1,4780,4.1,283,54999,0.08,1.56
Medium,64,4,2,1,4000,4.5,89172,13399,0.06,119.48
Small,32,3,2,1,4000,4.3,1870,10449,0.05,1.95
Medium,64,6,2,2,4000,4.5,25400,13999,0.09,35.56
Medium,64,4,2,1,4000,4.5,141177,12900,0.04,182.12
Medium,64,6,2,1,4000,4.4,53013,15999,0.05,84.82
Large,128,6,3,1,5000,4.2,1294,32999,0.17,4.27
Small,64,4,2,1,4000,4.3,1783,12499,0.03,2.23
Small,64,4,2,1,4000,4.3,1783,12349,0.05,2.2
Large,128,8,3,1,4520,3.8,35,36499,0.01,0.13
Small,64,4,2,1,3080,4.4,470905,10490,0.25,493.98
Small,32,2,1,1,3000,4.3,55708,5742,0.28,31.99
Large,128,8,4,1,4820,4.3,663,24215,0.06,1.61
Large,128,4,2,1,5020,4.4,6106,14199,0.03,8.67
Large,128,6,4,1,5020,4.3,434,14999,0.06,0.65
Medium,32,3,2,1,4000,4.4,6844,8252,0.31,5.65
Small,16,2,1,1,3300,4.3,4267,6890,0.18,2.94
Small,32,3,2,1,4000,4.3,1870,7999,0.3,1.5
Small,64,4,2,1,4000,4.3,1783,9699,0.28,1.73
